Status_of_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Other_debtors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,is_privileged,Risk,sex,age_cat
2.0,-0.5727307703292022,2.0,4.0,-0.6356084115782735,0.0,2.0,0.9184771676276684,1.0,1.0,0.0,-0.3118794015104515,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2,1
2.0,-0.9875727016121244,2.0,4.0,-0.8192100780409609,0.0,2.0,-0.8701833340815202,0.0,1.0,2.0,-0.3118794015104515,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2,1
1.0,-1.0705410878687087,2.0,4.0,-1.0145083757647846,0.0,2.0,0.9184771676276684,0.0,2.0,0.0,-0.9275465787730462,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,0
3.0,0.5058582510063954,2.0,4.0,-0.5640108505252565,2.0,4.0,0.9184771676276684,0.0,1.0,2.0,-0.4877843092997643,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2,1
1.0,-0.90460431535554,2.0,4.0,-0.8291344924443494,2.0,2.0,0.0241469167730741,0.0,0.0,2.0,-0.9275465787730462,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0,1
1.0,-0.5727307703292022,3.0,5.0,0.3465541709856387,0.0,2.0,-0.8701833340815202,0.0,3.0,0.0,-0.0480220398264823,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2,1
0.0,0.5058582510063954,4.0,1.0,0.3366297565822502,1.0,3.0,-1.7645135849361149,0.0,3.0,2.0,-0.9275465787730462,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3,0
0.0,1.7503840448551615,4.0,1.0,0.3366297565822502,0.0,4.0,0.9184771676276684,0.0,3.0,3.0,0.3917402296467996,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1,2
3.0,-0.8216359290989554,4.0,0.0,-0.6657360981599887,0.0,1.0,0.9184771676276684,0.0,3.0,2.0,-0.0480220398264823,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1,1
3.0,0.7547634097761486,2.0,4.0,-0.5916574335061244,2.0,4.0,0.9184771676276684,0.0,3.0,2.0,-0.2239269476157951,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,1
0.0,-1.2364778603818776,2.0,1.0,-0.7394603194423033,2.0,0.0,-1.7645135849361149,0.0,1.0,1.0,-1.1914039404570154,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0
3.0,-0.9875727016121244,4.0,0.0,0.7275807954014474,0.0,2.0,-1.7645135849361149,0.0,3.0,1.0,-0.2239269476157951,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2,1
3.0,-0.738667542842371,2.0,4.0,-0.4247146055062679,1.0,2.0,0.9184771676276684,1.0,1.0,0.0,-0.9275465787730462,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1,1
1.0,-0.0749204527896956,3.0,3.0,-0.5640108505252565,4.0,1.0,0.9184771676276684,0.0,1.0,1.0,-0.6636892170890771,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,1
1.0,0.0080479334668887,3.0,1.0,0.2983498724548946,0.0,4.0,-1.7645135849361149,0.0,1.0,2.0,-0.4877843092997643,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2,1
3.0,-0.90460431535554,2.0,4.0,-0.7855379577437499,0.0,2.0,0.0241469167730741,0.0,1.0,2.0,-0.9275465787730462,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,0
3.0,-0.5727307703292022,2.0,1.0,-0.2949883315191181,4.0,2.0,-0.8701833340815202,0.0,0.0,1.0,-0.4877843092997643,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2,1
1.0,0.7547634097761486,3.0,0.0,-0.6161140261430461,0.0,4.0,0.9184771676276684,0.0,3.0,3.0,0.3917402296467996,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2,2
3.0,-1.2364778603818776,1.0,0.0,-0.908175364299908,4.0,2.0,-1.7645135849361149,2.0,1.0,0.0,-0.9275465787730462,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2,1
1.0,-0.90460431535554,2.0,4.0,0.4748626714865901,4.0,0.0,-0.8701833340815202,0.0,0.0,3.0,0.2158353218574868,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2,2
3.0,1.2525737273156552,4.0,4.0,2.231129577514806,0.0,2.0,-0.8701833340815202,0.0,1.0,2.0,-0.3998318554051079,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1,1
2.0,-0.5727307703292022,2.0,0.0,-0.6458872693532116,0.0,4.0,0.0241469167730741,0.0,1.0,2.0,-1.1914039404570154,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1,0
0.0,0.7547634097761486,4.0,3.0,0.357541915503676,0.0,1.0,0.9184771676276684,1.0,3.0,3.0,-1.1914039404570154,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0
1.0,-0.9875727016121244,2.0,9.0,-0.6664449849030879,0.0,2.0,-0.8701833340815202,0.0,0.0,0.0,-1.1914039404570154,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3,1
1.0,-0.738667542842371,4.0,4.0,-0.7040159822873443,4.0,4.0,0.9184771676276684,2.0,3.0,0.0,0.1278828679628304,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2,2
1.0,0.7547634097761486,0.0,9.0,-0.6458872693532116,0.0,4.0,0.9184771676276684,0.0,3.0,3.0,0.5676451374361124,2.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2,2
1.0,1.7503840448551615,0.0,9.0,3.2990674559937188,0.0,2.0,-0.8701833340815202,0.0,1.0,2.0,-0.9275465787730462,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2,0
3.0,0.2569530922366421,2.0,4.0,-0.0319913498293227,0.0,1.0,0.9184771676276684,0.0,3.0,1.0,-1.3673088482463285,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1,1
3.0,0.0080479334668887,2.0,5.0,0.169332485210844,4.0,4.0,0.9184771676276684,0.0,3.0,1.0,0.1278828679628304,2.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,2,2
3.0,-0.738667542842371,2.0,4.0,-0.3899791550944081,0.0,1.0,-0.8701833340815202,0.0,1.0,2.0,-0.6636892170890771,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1,1
1.0,-0.90460431535554,2.0,0.0,-0.8426033405632338,3.0,2.0,0.9184771676276684,0.0,0.0,0.0,-1.1914039404570154,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3,0
3.0,0.7547634097761486,2.0,7.0,-0.6675083150177367,0.0,2.0,0.9184771676276684,0.0,3.0,3.0,-0.3118794015104515,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2,1
3.0,0.7547634097761486,2.0,4.0,-0.5427442482322812,4.0,2.0,0.9184771676276684,0.0,3.0,2.0,-0.9275465787730462,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1,0
3.0,1.2525737273156552,2.0,1.0,1.723212226084244,0.0,2.0,-1.7645135849361149,0.0,1.0,1.0,-0.4877843092997643,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1,1
3.0,-1.1535094741252931,4.0,4.0,-0.9173908919601972,4.0,4.0,0.9184771676276684,0.0,1.0,1.0,0.039930414068174,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2,2
0.0,-1.1535094741252931,4.0,2.0,-0.8273622755866015,0.0,4.0,0.0241469167730741,0.0,3.0,3.0,0.2158353218574868,0.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,2,2
1.0,1.7503840448551615,4.0,9.0,0.9508801194776888,0.0,3.0,-0.8701833340815202,0.0,0.0,0.0,0.479692683541456,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1
0.0,0.7547634097761486,2.0,7.0,-0.6444694958670133,4.0,4.0,0.9184771676276684,0.0,3.0,3.0,-0.1359744937211387,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2,1
0.0,-0.90460431535554,4.0,1.0,-0.7040159822873443,0.0,4.0,0.9184771676276684,0.0,3.0,3.0,0.6555975913307688,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2,2
0.0,1.2525737273156552,2.0,4.0,-0.0557390557231452,0.0,1.0,0.9184771676276684,0.0,2.0,2.0,-0.3998318554051079,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2,1
1.0,-0.9875727016121244,3.0,4.0,0.1207737433085502,0.0,3.0,-0.8701833340815202,0.0,3.0,1.0,0.2158353218574868,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,2
3.0,2.165225976138084,0.0,1.0,1.590295961753148,4.0,2.0,-0.8701833340815202,0.0,1.0,1.0,-0.2239269476157951,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2,1
1.0,0.5058582510063954,2.0,3.0,-0.1209566360882697,0.0,1.0,-0.8701833340815202,0.0,0.0,1.0,-1.1914039404570154,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3,0
3.0,0.2569530922366421,2.0,4.0,0.9469812423906432,4.0,1.0,-1.7645135849361149,0.0,0.0,2.0,0.7435500452254252,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1,1
3.0,-0.738667542842371,2.0,4.0,-0.8195645214125105,2.0,4.0,0.9184771676276684,0.0,2.0,1.0,0.039930414068174,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2,2
3.0,-0.5727307703292022,2.0,9.0,-0.6983448883425509,1.0,2.0,0.0241469167730741,0.0,3.0,1.0,-0.9275465787730462,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0
0.0,-0.0749204527896956,2.0,2.0,-0.6699894186185837,0.0,4.0,0.9184771676276684,2.0,3.0,0.0,0.3917402296467996,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,2
0.0,-0.9875727016121244,2.0,4.0,-0.5852774528182318,0.0,4.0,0.0241469167730741,0.0,3.0,0.0,0.2158353218574868,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2
3.0,-0.738667542842371,4.0,9.0,-0.6590016741005464,0.0,2.0,0.9184771676276684,2.0,1.0,0.0,-0.6636892170890771,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1,1
1.0,-0.2408572253028645,4.0,3.0,-0.7004715485718485,0.0,1.0,0.9184771676276684,0.0,0.0,1.0,-1.1914039404570154,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1,1
1.0,0.7547634097761486,2.0,7.0,2.6408661150261312,1.0,2.0,-1.7645135849361149,0.0,3.0,3.0,0.039930414068174,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2,2
0.0,-0.5727307703292022,2.0,0.0,-0.6022907346526122,1.0,3.0,0.9184771676276684,0.0,2.0,2.0,-0.4877843092997643,2.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,2,1
0.0,-0.90460431535554,0.0,5.0,-0.831261152673647,0.0,3.0,0.9184771676276684,0.0,2.0,0.0,-0.6636892170890771,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2,1
3.0,-0.90460431535554,4.0,4.0,-1.0084828384484417,0.0,4.0,0.9184771676276684,0.0,3.0,0.0,0.3917402296467996,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,2
0.0,-0.90460431535554,4.0,1.0,-0.726700358066518,0.0,4.0,0.9184771676276684,0.0,2.0,0.0,0.3037877757521432,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,2
3.0,-0.738667542842371,4.0,4.0,-0.8769843476035439,4.0,4.0,0.9184771676276684,0.0,2.0,1.0,-0.2239269476157951,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1,1
2.0,-0.0749204527896956,4.0,3.0,-0.1734142550776089,4.0,4.0,0.9184771676276684,1.0,3.0,3.0,-1.3673088482463285,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2,0
1.0,-0.90460431535554,2.0,0.0,-0.7586002615059811,3.0,4.0,0.9184771676276684,0.0,3.0,0.0,0.3037877757521432,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2,2
1.0,2.165225976138084,0.0,9.0,4.460932827933273,0.0,1.0,0.0241469167730741,0.0,3.0,3.0,0.3917402296467996,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2,2
3.0,-0.90460431535554,4.0,7.0,-0.6387984019222199,4.0,3.0,0.9184771676276684,0.0,1.0,2.0,0.5676451374361124,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1,2
1.0,-0.5727307703292022,2.0,9.0,-0.492767732843789,1.0,2.0,0.9184771676276684,0.0,3.0,2.0,-0.3998318554051079,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,1
1.0,0.7547634097761486,4.0,4.0,-0.5516053325210208,0.0,4.0,0.9184771676276684,0.0,3.0,0.0,-0.3118794015104515,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,1
1.0,-0.4897623840726178,3.0,1.0,0.6956808919619843,4.0,3.0,0.0241469167730741,0.0,3.0,1.0,-0.3118794015104515,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,2,1
3.0,0.2569530922366421,2.0,0.0,-0.6387984019222199,1.0,4.0,0.9184771676276684,0.0,3.0,0.0,0.479692683541456,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3,1
1.0,0.7547634097761486,2.0,4.0,-0.5714541613277979,0.0,3.0,0.9184771676276684,0.0,3.0,2.0,-0.9275465787730462,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,0
3.0,-1.2364778603818776,3.0,4.0,-0.8844276584060854,0.0,2.0,0.0241469167730741,0.0,1.0,0.0,-0.9275465787730462,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1,0
1.0,-1.0705410878687087,4.0,3.0,-0.6621916644444927,0.0,3.0,0.9184771676276684,0.0,2.0,2.0,-0.3118794015104515,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2,1
3.0,-0.738667542842371,2.0,1.0,-0.2928616712898206,4.0,1.0,-0.8701833340815202,0.0,3.0,2.0,-1.3673088482463285,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3,1
1.0,-0.0749204527896956,4.0,2.0,2.370780265905344,0.0,2.0,-0.8701833340815202,1.0,2.0,2.0,-0.2239269476157951,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2,1
3.0,-0.5727307703292022,1.0,0.0,0.4748626714865901,0.0,4.0,-0.8701833340815202,0.0,3.0,3.0,-0.2239269476157951,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2,1
1.0,-0.90460431535554,2.0,0.0,0.2983498724548946,0.0,3.0,-0.8701833340815202,0.0,1.0,2.0,-0.3998318554051079,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,1
0.0,0.2569530922366421,2.0,3.0,1.5771815570058132,4.0,1.0,-1.7645135849361149,0.0,1.0,1.0,-0.4877843092997643,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1
1.0,-0.5727307703292022,2.0,9.0,-0.6597105608436457,2.0,4.0,-1.7645135849361149,0.0,1.0,0.0,-0.0480220398264823,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3,1
1.0,-1.2364778603818776,3.0,9.0,-0.7185481605208774,1.0,4.0,-1.7645135849361149,0.0,1.0,2.0,-0.4877843092997643,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0,1
2.0,-0.738667542842371,2.0,7.0,-1.0393194117732558,0.0,1.0,0.9184771676276684,0.0,3.0,1.0,-1.1914039404570154,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1,0
1.0,-0.5727307703292022,2.0,0.0,0.357541915503676,0.0,3.0,0.0241469167730741,0.0,2.0,0.0,-0.6636892170890771,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,1
3.0,0.7547634097761486,4.0,0.0,1.2358525902035586,0.0,2.0,0.9184771676276684,0.0,1.0,0.0,-0.9275465787730462,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1,0
0.0,-0.738667542842371,2.0,4.0,-0.5640108505252565,2.0,4.0,0.0241469167730741,0.0,0.0,0.0,-0.0480220398264823,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,3,1
3.0,1.7503840448551615,4.0,4.0,-0.1797942357655015,4.0,4.0,0.9184771676276684,0.0,0.0,0.0,0.039930414068174,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2,2
0.0,1.7503840448551615,2.0,4.0,1.3833010327681878,4.0,3.0,0.9184771676276684,0.0,2.0,2.0,-0.4877843092997643,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1,1
0.0,-0.90460431535554,4.0,3.0,-0.4038024465848421,4.0,1.0,-0.8701833340815202,1.0,2.0,0.0,-1.1914039404570154,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1,1
0.0,0.5058582510063954,4.0,3.0,0.0275551365910082,2.0,2.0,-1.7645135849361149,0.0,3.0,2.0,-1.1914039404570154,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0
1.0,-0.90460431535554,4.0,0.0,-0.5441620217184795,2.0,3.0,0.0241469167730741,0.0,2.0,2.0,-0.3118794015104515,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0,1
0.0,-0.2408572253028645,2.0,4.0,-0.6664449849030879,0.0,2.0,0.0241469167730741,0.0,1.0,0.0,-0.9275465787730462,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1,0
3.0,0.2569530922366421,4.0,1.0,0.2115112464252451,0.0,4.0,0.9184771676276684,0.0,1.0,2.0,0.479692683541456,2.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1,1
3.0,-0.90460431535554,2.0,3.0,-0.6696349752470342,0.0,2.0,0.0241469167730741,0.0,1.0,0.0,-0.9275465787730462,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0
2.0,-0.9875727016121244,4.0,0.0,-0.908175364299908,0.0,4.0,0.9184771676276684,0.0,3.0,3.0,0.5676451374361124,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2,2
